Date,Load
09/01/2023 23.30,1212.913
10/01/2023 00.00,650.324
10/01/2023 00.30,565.949
10/01/2023 01.00,550.97
10/01/2023 01.30,561.899
10/01/2023 02.00,508.207
10/01/2023 02.30,522.617
10/01/2023 03.00,529.871
10/01/2023 03.30,517.745
10/01/2023 04.00,480.741
10/01/2023 04.30,459.945
10/01/2023 05.00,497.629
10/01/2023 05.30,468.818
10/01/2023 06.00,450.592
10/01/2023 06.30,507.826
10/01/2023 07.00,463.687
10/01/2023 07.30,367.102
10/01/2023 08.00,323.078
10/01/2023 08.30,328.708
10/01/2023 09.00,271.586
10/01/2023 09.30,362.303
10/01/2023 10.00,252.651
10/01/2023 10.30,764.941
10/01/2023 11.00,2085.711
10/01/2023 11.30,2174.14
10/01/2023 12.00,2122.634
10/01/2023 12.30,2117.037
10/01/2023 13.00,2127.459
10/01/2023 13.30,2134.506
10/01/2023 14.00,2324.619
10/01/2023 14.30,2999.22
10/01/2023 15.00,2544.507
10/01/2023 15.30,2623.987
10/01/2023 16.00,2987.146
10/01/2023 16.30,3231.622
10/01/2023 17.00,3353.439
10/01/2023 17.30,3525.046
10/01/2023 18.00,3689.736
10/01/2023 18.30,3646.598
10/01/2023 19.00,3669.335
10/01/2023 19.30,3698.464
10/01/2023 20.00,3509.873
10/01/2023 20.30,3451.324
10/01/2023 21.00,3313.073
10/01/2023 21.30,2622.559
10/01/2023 22.00,2173.513
10/01/2023 22.30,1378.949
10/01/2023 23.00,1453.257
10/01/2023 23.30,1337.904
11/01/2023 00.00,839.865
11/01/2023 00.30,660.645
11/01/2023 01.00,627.523
11/01/2023 01.30,605.339
11/01/2023 02.00,565.425
11/01/2023 02.30,595.623
11/01/2023 03.00,566.531
11/01/2023 03.30,532.83
11/01/2023 04.00,480.255
11/01/2023 04.30,459.278
11/01/2023 05.00,481.681
11/01/2023 05.30,442.815
11/01/2023 06.00,450.786
11/01/2023 06.30,515.607
11/01/2023 07.00,480.374
11/01/2023 07.30,381.099
11/01/2023 08.00,367.24
11/01/2023 08.30,347.048
11/01/2023 09.00,493.1
11/01/2023 09.30,430.988
11/01/2023 10.00,215.349
11/01/2023 10.30,566.088
11/01/2023 11.00,2157.91
11/01/2023 11.30,2176.286
11/01/2023 12.00,2164.696
11/01/2023 12.30,2137.007
11/01/2023 13.00,2123.222
11/01/2023 13.30,2174.644
11/01/2023 14.00,2272.456
11/01/2023 14.30,2447.692
11/01/2023 15.00,3059.639
11/01/2023 15.30,2667.712
11/01/2023 16.00,3293.056
11/01/2023 16.30,3178.255
11/01/2023 17.00,3385.535
11/01/2023 17.30,3550.907
11/01/2023 18.00,3680.84
11/01/2023 18.30,3636.339
11/01/2023 19.00,3722.65
11/01/2023 19.30,3703.904
11/01/2023 20.00,3554.273
11/01/2023 20.30,3516.864
11/01/2023 21.00,3482.839
11/01/2023 21.30,2557.484
11/01/2023 22.00,2100.678
11/01/2023 22.30,1266.88
11/01/2023 23.00,1300.82
